date,value,name,type
1974-08-01,69.5467998969602,TerraClimate,Model forcing
1974-09-01,41.7642584099725,TerraClimate,Model forcing
1974-10-01,93.0204651124289,TerraClimate,Model forcing
1974-11-01,45.3697580761613,TerraClimate,Model forcing
1974-12-01,91.1499885694704,TerraClimate,Model forcing
1975-01-01,36.2072601152803,TerraClimate,Model forcing
1975-02-01,17.1615910570981,TerraClimate,Model forcing
1975-03-01,46.788766830016,TerraClimate,Model forcing
1975-04-01,31.8267942115778,TerraClimate,Model forcing
1975-05-01,66.0508236899468,TerraClimate,Model forcing
1975-06-01,140.334366041208,TerraClimate,Model forcing
1975-07-01,93.6662313887192,TerraClimate,Model forcing
1975-08-01,76.6362932971579,TerraClimate,Model forcing
1975-09-01,26.9685300555782,TerraClimate,Model forcing
1975-10-01,55.9701495451009,TerraClimate,Model forcing
1975-11-01,36.3777415517899,TerraClimate,Model forcing
1975-12-01,22.869767387385,TerraClimate,Model forcing
1976-01-01,89.4548345808465,TerraClimate,Model forcing
1976-02-01,15.0136821822489,TerraClimate,Model forcing
1976-03-01,18.278256655676,TerraClimate,Model forcing
1976-04-01,23.1023366385708,TerraClimate,Model forcing
1976-05-01,75.8558417805425,TerraClimate,Model forcing
1976-06-01,38.7695597420376,TerraClimate,Model forcing
1976-07-01,84.4842259399897,TerraClimate,Model forcing
1976-08-01,55.5355148622203,TerraClimate,Model forcing
1976-09-01,61.1397803710791,TerraClimate,Model forcing
1976-10-01,53.2115567603001,TerraClimate,Model forcing
1976-11-01,64.3606869905255,TerraClimate,Model forcing
1976-12-01,32.9740308111636,TerraClimate,Model forcing
1977-01-01,58.0149516249565,TerraClimate,Model forcing
1977-02-01,67.3228915371277,TerraClimate,Model forcing
1977-03-01,44.1645776717178,TerraClimate,Model forcing
1977-04-01,49.3298799603404,TerraClimate,Model forcing
1977-05-01,49.4573727351694,TerraClimate,Model forcing
1977-06-01,80.7865824718803,TerraClimate,Model forcing
1977-07-01,98.2475717111277,TerraClimate,Model forcing
1977-08-01,139.378193123682,TerraClimate,Model forcing
1977-09-01,50.3028983247793,TerraClimate,Model forcing
1977-10-01,25.5235485554287,TerraClimate,Model forcing
1977-11-01,53.321419641173,TerraClimate,Model forcing
1977-12-01,35.8013425547299,TerraClimate,Model forcing
1978-01-01,28.0064669052294,TerraClimate,Model forcing
1978-02-01,20.9500406840348,TerraClimate,Model forcing
1978-03-01,30.5431273209936,TerraClimate,Model forcing
1978-04-01,36.7049629491838,TerraClimate,Model forcing
1978-05-01,91.6055909913186,TerraClimate,Model forcing
1978-06-01,57.5059260220205,TerraClimate,Model forcing
1978-07-01,67.4667831814753,TerraClimate,Model forcing
1978-08-01,87.7750007748991,TerraClimate,Model forcing
1978-09-01,61.4720827573825,TerraClimate,Model forcing
1978-10-01,37.1676673643059,TerraClimate,Model forcing
1978-11-01,25.0062527425892,TerraClimate,Model forcing
1978-12-01,50.3692277397855,TerraClimate,Model forcing
1979-01-01,41.0052392621667,TerraClimate,Model forcing
1979-02-01,35.2551632376527,TerraClimate,Model forcing
1979-03-01,67.8229863333015,TerraClimate,Model forcing
1979-04-01,59.1301586155736,TerraClimate,Model forcing
1979-05-01,30.0963763574749,TerraClimate,Model forcing
1979-06-01,114.854875043832,TerraClimate,Model forcing
1979-07-01,65.6942394067874,TerraClimate,Model forcing
1979-08-01,72.1804158283027,TerraClimate,Model forcing
1979-09-01,82.4561213315406,TerraClimate,Model forcing
1979-10-01,19.9217661463522,TerraClimate,Model forcing
1979-11-01,73.989172484494,TerraClimate,Model forcing
1979-12-01,57.5489524876008,TerraClimate,Model forcing
1980-01-01,32.8356342252812,TerraClimate,Model forcing
1980-02-01,36.3721412120876,TerraClimate,Model forcing
1980-03-01,33.4492583104163,TerraClimate,Model forcing
1980-04-01,77.1483386511449,TerraClimate,Model forcing
1980-05-01,40.3457837749734,TerraClimate,Model forcing
1980-06-01,85.7733224432099,TerraClimate,Model forcing
1980-07-01,124.703687957532,TerraClimate,Model forcing
1980-08-01,53.0630917725622,TerraClimate,Model forcing
1980-09-01,46.5834263894331,TerraClimate,Model forcing
1980-10-01,72.3406889615659,TerraClimate,Model forcing
1980-11-01,41.231382214053,TerraClimate,Model forcing
1980-12-01,34.8030835888504,TerraClimate,Model forcing
1981-01-01,46.2252980682802,TerraClimate,Model forcing
1981-02-01,24.5641744632168,TerraClimate,Model forcing
1981-03-01,50.2508397660943,TerraClimate,Model forcing
1981-04-01,25.2075216451766,TerraClimate,Model forcing
1981-05-01,61.4877421299376,TerraClimate,Model forcing
1981-06-01,57.7761554182781,TerraClimate,Model forcing
1981-07-01,155.121985573427,TerraClimate,Model forcing
1981-08-01,61.2292203741661,TerraClimate,Model forcing
1981-09-01,79.4090033273403,TerraClimate,Model forcing
1981-10-01,93.7675776793703,TerraClimate,Model forcing
1981-11-01,50.1394310704897,TerraClimate,Model forcing
1981-12-01,66.8690940990673,TerraClimate,Model forcing
1982-01-01,49.6825984371048,TerraClimate,Model forcing
1982-02-01,7.91039892038062,TerraClimate,Model forcing
1982-03-01,32.5265634755947,TerraClimate,Model forcing
1982-04-01,22.5585312696254,TerraClimate,Model forcing
1982-05-01,72.7917904419915,TerraClimate,Model forcing
1982-06-01,84.4723812670081,TerraClimate,Model forcing
1982-07-01,75.1061907783651,TerraClimate,Model forcing
1982-08-01,66.2269131082733,TerraClimate,Model forcing
1982-09-01,18.0304618256801,TerraClimate,Model forcing
1982-10-01,31.3009389623429,TerraClimate,Model forcing
1982-11-01,24.1439745525499,TerraClimate,Model forcing
1982-12-01,53.7175736191143,TerraClimate,Model forcing
1983-01-01,55.9626045508929,TerraClimate,Model forcing
1983-02-01,40.0411824358961,TerraClimate,Model forcing
1983-03-01,29.9224213032617,TerraClimate,Model forcing
1983-04-01,53.9099382298444,TerraClimate,Model forcing
1983-05-01,92.0208488302432,TerraClimate,Model forcing
1983-06-01,71.8196081971788,TerraClimate,Model forcing
1983-07-01,38.8720840017575,TerraClimate,Model forcing
1983-08-01,84.7603316432632,TerraClimate,Model forcing
1983-09-01,38.1002547177922,TerraClimate,Model forcing
